,品种/合约,日期,名次,会员简称,成交量（手）,增减量,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
212,早籼RI,2022-03-17,2,徽商期货,8,-6,浙江新世纪,2,0,中粮期货,2,-1
213,早籼RI,2022-03-17,3,中辉期货,3,3,中粮期货,1,0,国投安信期货,1,0
214,早籼RI,2022-03-17,4,申银万国,2,0,东证期货,1,0,东证期货,1,0
215,早籼RI,2022-03-17,5,中银国际,2,0,东吴期货,1,0,华泰期货,0,0
216,早籼RI,2022-03-17,6,中粮期货,1,-4,华泰期货,0,0,申银万国,0,0
217,早籼RI,2022-03-17,7,华泰期货,0,-2,国投安信期货,0,0,创元期货,0,0
218,早籼RI,2022-03-17,8,国投安信期货,0,0,徽商期货,0,0,中银国际,0,0
219,早籼RI,2022-03-17,9,创元期货,0,-4,申银万国,0,0,浙江新世纪,0,0
220,早籼RI,2022-03-17,10,东证期货,0,-1,创元期货,0,0,民生期货,0,0
221,早籼RI,2022-03-17,11,浙江新世纪,0,0,中银国际,0,-2,东吴期货,0,0
222,早籼RI,2022-03-17,12,民生期货,0,-2,民生期货,0,0,国泰君安,0,0
223,早籼RI,2022-03-17,13,东吴期货,0,-1,国泰君安,0,0,中辉期货,0,0
224,早籼RI,2022-03-17,14,国泰君安,0,-2,海证期货,0,0,海证期货,0,0
225,早籼RI,2022-03-17,15,平安期货,0,-1,平安期货,0,0,平安期货,0,0
226,菜粕RM,2022-03-17,1,中信期货,73111,1336,中信期货,36694,84,兴证期货,35452,393
227,菜粕RM,2022-03-17,2,东证期货,57357,-7678,银河期货,32573,4390,中粮期货,34789,-11
228,菜粕RM,2022-03-17,3,海通期货,49616,5974,国泰君安,31176,6,国泰君安,24128,-60
229,菜粕RM,2022-03-17,4,华闻期货,37797,-128,中粮期货,29027,678,光大期货,23926,1192
230,菜粕RM,2022-03-17,5,国泰君安,36352,-6055,浙商期货,28874,-47,中信建投,21921,1355
231,菜粕RM,2022-03-17,6,徽商期货,35251,-5835,光大期货,22074,-18,中信期货,20394,-409
232,菜粕RM,2022-03-17,7,中信建投,26839,-11240,华泰期货,20450,780,上海中期,19020,-44
233,菜粕RM,2022-03-17,8,银河期货,26117,-98,鲁证期货,15976,216,徽商期货,17671,106
234,菜粕RM,2022-03-17,9,光大期货,23164,-278,一德期货,15335,-3104,银河期货,17313,-291
235,菜粕RM,2022-03-17,10,东方财富,22114,-3107,中信建投,14590,1348,鲁证期货,17194,33
236,菜粕RM,2022-03-17,11,华安期货,21730,143,创元期货,13991,61,方正中期,15956,-58
237,菜粕RM,2022-03-17,12,华泰期货,19607,-1214,永安期货,13672,-410,国投安信期货,15285,-94
238,菜粕RM,2022-03-17,13,国信期货,19366,-213,东证期货,13659,-2603,海通期货,12972,1930
239,菜粕RM,2022-03-17,14,申银万国,18547,1312,兴证期货,13243,-559,华泰期货,12913,21
240,菜粕RM,2022-03-17,15,方正中期,18334,-3417,南华期货,12768,-529,创元期货,12553,302
241,菜粕RM,2022-03-17,16,新湖期货,15966,-4918,美尔雅,12211,-776,美尔雅,11344,161
242,菜粕RM,2022-03-17,17,永安期货,14799,-3675,申银万国,12144,209,东证期货,10458,-2906
243,菜粕RM,2022-03-17,18,平安期货,14756,793,东吴期货,11689,916,宏源期货,10446,-880
244,菜粕RM,2022-03-17,19,广发期货,14675,-2167,国投安信期货,11659,-1838,华安期货,10401,-88
245,菜粕RM,2022-03-17,20,东吴期货,14576,-747,海证期货,11554,16,弘业期货,10287,-410
246,菜籽RS,2022-03-17,1,华西期货,0,0,中财期货,7,0,国海良时,6,0
247,菜籽RS,2022-03-17,2,中财期货,0,0,华西期货,6,0,中粮期货,3,0
248,菜籽RS,2022-03-17,3,徽商期货,0,-2,海证期货,2,0,中信建投,3,0
249,菜籽RS,2022-03-17,4,国元期货,0,-2,平安期货,2,0,海通期货,2,0
250,菜籽RS,2022-03-17,5,银河期货,0,0,银河期货,1,0,中投天琪,2,0
251,菜籽RS,2022-03-17,6,鲁证期货,0,-1,鲁证期货,1,0,中原期货,1,0
252,菜籽RS,2022-03-17,7,中粮期货,0,0,福能期货,1,0,创元期货,1,0
253,菜籽RS,2022-03-17,8,福能期货,0,-1,山金期货,1,0,美尔雅,1,0
254,菜籽RS,2022-03-17,9,海通期货,0,-4,浙江新世纪,1,0,东证期货,1,0
255,菜籽RS,2022-03-17,10,中原期货,0,-2,宏源期货,1,0,光大期货,1,0
256,菜籽RS,2022-03-17,11,创元期货,0,-1,东方财富,1,0,宏源期货,1,0
257,菜籽RS,2022-03-17,12,山金期货,0,0,徽商期货,0,0,华安期货,1,0
258,菜籽RS,2022-03-17,13,大地期货,0,-5,国元期货,0,0,财信期货,1,0
259,菜籽RS,2022-03-17,14,美尔雅,0,-1,中粮期货,0,0,华西期货,0,0
260,菜籽RS,2022-03-17,15,东证期货,0,0,海通期货,0,0,中财期货,0,0
261,菜籽RS,2022-03-17,16,光大期货,0,-3,中原期货,0,0,徽商期货,0,0
262,菜籽RS,2022-03-17,17,浙江新世纪,0,0,创元期货,0,0,国元期货,0,0
263,菜籽RS,2022-03-17,18,中投天琪,0,0,大地期货,0,0,银河期货,0,0
264,菜籽RS,2022-03-17,19,中信建投,0,0,美尔雅,0,0,鲁证期货,0,0
265,菜籽RS,2022-03-17,20,上海中期,0,-4,东证期货,0,0,福能期货,0,0
266,纯碱SA,2022-03-17,1,中信期货,189618,268,中信期货,29107,-2125,申银万国,51205,348
267,纯碱SA,2022-03-17,2,华闻期货,111766,3358,申银万国,28623,-1296,银河期货,39948,-443
268,纯碱SA,2022-03-17,3,国信期货,109790,2418,方正中期,24512,-499,永安期货,36247,822
269,纯碱SA,2022-03-17,4,光大期货,92362,6147,东证期货,21850,2211,中信期货,29770,-2877
270,纯碱SA,2022-03-17,5,海通期货,87692,2475,浙商期货,21713,699,东证期货,29345,2580
271,纯碱SA,2022-03-17,6,东证期货,74371,-3564,永安期货,21551,-968,国投安信期货,23676,1315
272,纯碱SA,2022-03-17,7,国泰君安,73199,328,国投安信期货,21245,982,国泰君安,20190,-6578
273,纯碱SA,2022-03-17,8,徽商期货,70115,4780,国泰君安,21138,2113,宝城期货,18913,-214
