,品种/合约,日期,名次,会员简称,成交量（手）,增减量,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
143,菜油OI,2021-01-29,4,光大期货,40609,7756,申银万国,8354,-3878,兴证期货,10317,53
144,菜油OI,2021-01-29,5,华联期货,36010,8299,中粮期货,7942,554,光大期货,9910,-93
145,菜油OI,2021-01-29,6,华西期货,25057,7737,西部期货,7445,429,安粮期货,9515,-75
146,菜油OI,2021-01-29,7,华泰期货,18767,3972,中信建投,7064,-866,东证期货,9087,1151
147,菜油OI,2021-01-29,8,新湖期货,16752,3073,国泰君安,6401,-1428,中信期货,7292,660
148,菜油OI,2021-01-29,9,宏源期货,15091,5632,建信期货,5641,-308,中信建投,6024,-143
149,菜油OI,2021-01-29,10,徽商期货,14991,4260,华泰期货,4996,-1052,英大期货,4116,201
150,菜油OI,2021-01-29,11,银河期货,13802,-4125,海通期货,4023,-848,华泰期货,3488,511
151,菜油OI,2021-01-29,12,国富期货,12898,4547,永安期货,3733,-379,信达期货,3130,-18
152,菜油OI,2021-01-29,13,东吴期货,12481,2710,中财期货,3507,659,海通期货,3016,-38
153,菜油OI,2021-01-29,14,华安期货,12032,1753,摩根大通,3002,-404,华安期货,2511,-343
154,菜油OI,2021-01-29,15,国泰君安,11632,-601,兴证期货,2865,-561,华金期货,2373,-55
155,菜油OI,2021-01-29,16,中粮期货,11282,-1647,光大期货,2793,678,新湖期货,2206,2
156,菜油OI,2021-01-29,17,申银万国,11122,4803,长安期货,2568,49,广发期货,2181,34
157,菜油OI,2021-01-29,18,华闻期货,9952,-1325,银河期货,2523,-257,弘业期货,2115,-79
158,菜油OI,2021-01-29,19,方正中期,9625,2265,华安期货,2426,255,瑞达期货,1887,-539
159,菜油OI,2021-01-29,20,中信建投,9205,-3425,瑞达期货,2420,-936,方正中期,1617,-298
160,短纤PF,2021-01-29,1,中信期货,38820,8775,永安期货,13971,457,天风期货,12519,362
161,短纤PF,2021-01-29,2,徽商期货,9338,2972,国泰君安,4748,437,永安期货,9933,-193
162,短纤PF,2021-01-29,3,光大期货,7736,1968,华泰期货,4164,-163,国贸期货,6424,195
163,短纤PF,2021-01-29,4,海通期货,6654,2627,方正中期,3447,-419,中国国际,6198,-21
164,短纤PF,2021-01-29,5,浙商期货,6088,2598,中信期货,3292,177,国泰君安,5211,-266
165,短纤PF,2021-01-29,6,华泰期货,5955,1935,中财期货,2606,157,建信期货,5097,-6
166,短纤PF,2021-01-29,7,国泰君安,5809,2188,东吴期货,2534,218,银河期货,4692,19
167,短纤PF,2021-01-29,8,新湖期货,4250,373,徽商期货,2493,18,光大期货,3615,2
168,短纤PF,2021-01-29,9,华安期货,4223,159,东海期货,2467,473,中信期货,3190,57
169,短纤PF,2021-01-29,10,弘业期货,4220,1586,银河期货,2400,40,广发期货,3089,955
170,短纤PF,2021-01-29,11,东证期货,3880,721,弘业期货,2377,395,东吴期货,2925,-20
171,短纤PF,2021-01-29,12,国富期货,3847,1253,平安期货,2215,-41,申银万国,2839,387
172,短纤PF,2021-01-29,13,中信建投,3843,-2557,浙商期货,2202,-632,华泰期货,2774,-60
173,短纤PF,2021-01-29,14,华西期货,3786,107,中信建投,2041,-647,浙商期货,2713,872
174,短纤PF,2021-01-29,15,永安期货,3784,440,广发期货,2007,184,国投安信期货,2296,-1130
175,短纤PF,2021-01-29,16,广发期货,3689,1850,鲁证期货,1999,-608,中融汇信,2225,199
176,短纤PF,2021-01-29,17,东吴期货,3578,-542,国贸期货,1902,152,中财期货,2191,104
177,短纤PF,2021-01-29,18,方正中期,3520,1223,中辉期货,1716,45,海通期货,1789,-305
178,短纤PF,2021-01-29,19,中辉期货,3292,-310,光大期货,1659,-698,中州期货,1668,100
179,短纤PF,2021-01-29,20,国投安信期货,3147,1019,东证期货,1514,39,弘业期货,1123,-667
180,普麦PM,2021-01-29,1,华泰期货,0,0,中州期货,13,0,华融融达期货,23,0
181,普麦PM,2021-01-29,2,国投安信期货,0,0,福能期货,7,0,东航期货,8,0
182,普麦PM,2021-01-29,3,招商期货,0,0,国投安信期货,4,0,中州期货,6,0
183,普麦PM,2021-01-29,4,徽商期货,0,0,华泰期货,3,0,中辉期货,1,0
184,普麦PM,2021-01-29,5,华融融达期货,0,0,招商期货,3,0,华泰期货,0,0
185,普麦PM,2021-01-29,6,福能期货,0,0,中辉期货,3,0,国投安信期货,0,0
186,普麦PM,2021-01-29,7,东航期货,0,0,徽商期货,2,0,招商期货,0,0
187,普麦PM,2021-01-29,8,中州期货,0,0,五矿经易期货,2,0,徽商期货,0,0
188,普麦PM,2021-01-29,9,五矿经易期货,0,0,东航期货,1,0,福能期货,0,0
189,普麦PM,2021-01-29,10,中辉期货,0,0,华融融达期货,0,0,五矿经易期货,0,0
190,菜粕RM,2021-01-29,1,东证期货,294482,19505,中信期货,25250,113,中粮期货,59107,-1406
191,菜粕RM,2021-01-29,2,海通期货,261776,39039,国泰君安,20873,498,兴证期货,46787,-1884
192,菜粕RM,2021-01-29,3,中信期货,136437,24368,华泰期货,20425,1723,光大期货,35683,578
193,菜粕RM,2021-01-29,4,华西期货,124587,-16484,中粮期货,20029,942,中信期货,21373,1500
194,菜粕RM,2021-01-29,5,华泰期货,107166,28116,东证期货,19628,6147,国泰君安,19289,-71
195,菜粕RM,2021-01-29,6,光大期货,104547,9103,永安期货,17158,-1185,华泰期货,18632,-1485
196,菜粕RM,2021-01-29,7,国富期货,61686,12200,徽商期货,15060,573,浙商期货,17166,517
197,菜粕RM,2021-01-29,8,徽商期货,49164,7735,浙商期货,13864,-83,国投安信期货,16029,-97
198,菜粕RM,2021-01-29,9,国泰君安,44705,6239,鲁证期货,13718,358,东证期货,11905,-2857
199,菜粕RM,2021-01-29,10,银河期货,43866,6423,宏源期货,13006,-1575,华安期货,11339,745
200,菜粕RM,2021-01-29,11,广发期货,43591,9253,国投安信期货,12124,-914,永安期货,9058,-96
201,菜粕RM,2021-01-29,12,华安期货,40641,3249,南华期货,11414,-27,鲁证期货,8967,235
202,菜粕RM,2021-01-29,13,东吴期货,38614,538,华安期货,10849,84,徽商期货,8318,1249
203,菜粕RM,2021-01-29,14,东方财富,32907,-1811,瑞达期货,10603,-79,安粮期货,7975,367
204,菜粕RM,2021-01-29,15,新湖期货,29502,-1816,安粮期货,9032,682,国盛期货,7080,2
205,菜粕RM,2021-01-29,16,宏源期货,26333,8996,海通期货,8879,441,广发期货,7010,39
206,菜粕RM,2021-01-29,17,中信建投,25965,-4124,中信建投,8804,986,摩根大通,6494,992
207,菜粕RM,2021-01-29,18,中粮期货,24934,1185,银河期货,8793,478,海通期货,6365,-773
208,菜粕RM,2021-01-29,19,中辉期货,23542,3138,海证期货,8596,762,弘业期货,5746,236
