,品种/合约,日期,名次,会员简称,成交量（手）,增减量,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
220,菜籽RS,2021-12-01,2,中原期货,3,1,海证期货,4,0,华泰期货,2,1
221,菜籽RS,2021-12-01,3,财信期货,3,2,安粮期货,1,0,海通期货,2,0
222,菜籽RS,2021-12-01,4,徽商期货,2,-3,东吴期货,1,1,光大期货,2,2
223,菜籽RS,2021-12-01,5,海通期货,2,1,英大期货,1,1,银河期货,1,-3
224,菜籽RS,2021-12-01,6,东证期货,2,2,华泰期货,0,0,中原期货,1,1
225,菜籽RS,2021-12-01,7,光大期货,2,2,中财期货,0,0,招金期货,1,0
226,菜籽RS,2021-12-01,8,东吴期货,2,2,徽商期货,0,0,美尔雅,1,0
227,菜籽RS,2021-12-01,9,华泰期货,1,1,申银万国,0,0,东吴期货,1,1
228,菜籽RS,2021-12-01,10,福能期货,1,1,银河期货,0,0,永安期货,1,0
229,菜籽RS,2021-12-01,11,九州期货,1,1,福能期货,0,0,恒泰期货,1,1
230,菜籽RS,2021-12-01,12,英大期货,1,1,海通期货,0,0,中财期货,0,0
231,菜籽RS,2021-12-01,13,恒泰期货,1,1,中原期货,0,0,徽商期货,0,0
232,菜籽RS,2021-12-01,14,中财期货,0,-2,创元期货,0,0,华融融达期货,0,0
233,菜籽RS,2021-12-01,15,申银万国,0,-4,招金期货,0,0,福能期货,0,-1
234,菜籽RS,2021-12-01,16,华融融达期货,0,0,美尔雅,0,0,创元期货,0,0
235,菜籽RS,2021-12-01,17,创元期货,0,-1,东证期货,0,0,东证期货,0,0
236,菜籽RS,2021-12-01,18,招金期货,0,-1,光大期货,0,0,九州期货,0,-1
237,菜籽RS,2021-12-01,19,美尔雅,0,0,九州期货,0,0,安粮期货,0,0
238,菜籽RS,2021-12-01,20,安粮期货,0,0,永安期货,0,0,英大期货,0,0
239,纯碱SA,2021-12-01,1,东证期货,174951,53475,永安期货,45660,7115,中信期货,53422,2317
240,纯碱SA,2021-12-01,2,中信期货,117892,18363,浙商期货,29587,-423,永安期货,28453,-3168
241,纯碱SA,2021-12-01,3,华闻期货,78458,26590,国泰君安,23285,5396,银河期货,21162,785
242,纯碱SA,2021-12-01,4,东吴期货,59784,21198,中信期货,23038,5580,方正中期,14410,3894
243,纯碱SA,2021-12-01,5,海通期货,59333,3875,一德期货,19373,7606,弘业期货,12262,5290
244,纯碱SA,2021-12-01,6,国泰君安,57758,24398,五矿期货,16133,3142,国泰君安,11848,-4500
245,纯碱SA,2021-12-01,7,华泰期货,53318,11839,国投安信期货,14303,-624,华泰期货,11511,-686
246,纯碱SA,2021-12-01,8,光大期货,51745,4022,中粮期货,13903,-910,浙商期货,10752,-44
247,纯碱SA,2021-12-01,9,银河期货,48038,20399,华泰期货,12616,950,东吴期货,9500,2340
248,纯碱SA,2021-12-01,10,永安期货,47989,22370,东证期货,11037,1798,东证期货,8972,1355
